source,destination,trip_duration
jaynagar,lalbagh,[[11.133433]]
jaynagar,chickpete,[[12.135856]]
jaynagar,Jpnagar,[[11.940006]]
jaynagar,banashankari,[[10.991518]]
jaynagar,majestic,[[1.9836706]]
lalbagh,jaynagar,[[5.7916746]]
lalbagh,chickpete,[[7.8934298]]
lalbagh,Jpnagar,[[8.657858]]
lalbagh,banashankari,[[9.167986]]
lalbagh,majestic,[[17.499289]]
chickpete,lalbagh,[[8.077788]]
chickpete,Jpnagar,[[9.262058]]
chickpete,banashankari,[[8.588201]]
chickpete,majestic,[[10.008866]]
chickpete,jaynagar,[[10.873911]]
Jpnagar,lalbagh,[[12.165467]]
Jpnagar,jaynagar,[[11.292158]]
Jpnagar,chickpete,[[12.245181]]
Jpnagar,banashankari,[[9.837134]]
Jpnagar,majestic,[[13.818223]]
banashankari,jaynagar,[[3.9224923]]
banashankari,lalbagh,[[14.060184]]
banashankari,chickpete,[[5.5428457]]
banashankari,Jpnagar,[[13.699343]]
banashankari,majestic,[[5.371056]]
majestic,jaynagar,[[12.972494]]
majestic,lalbagh,[[6.8885317]]
majestic,chickpete,[[10.175641]]
majestic,Jpnagar,[[7.6283236]]
majestic,banashankari,[[4.182029]]
